artist,total_plays,jon,ico,matt,austin
Ibibio Sound Machine,470176,0,41,0,0
JayKae,460135,0,41,1,0
Planet 1999,500005,0,41,0,0
Sampha,6551246,0,41,0,0
squirrel flower,570697,0,41,0,0
Sun Ra,5961338,0,41,0,0
The Chicks,1912213,0,41,0,0
The Sound of Animals Fighting,5376593,0,41,0,0
Thom Yorke,34368759,0,41,0,0
Wild Pink,580655,0,41,0,0
Birds of Tokyo,3884998,0,40,0,0
Cleaners From Venus,1210047,0,40,0,0
Ellie Bleach,22886,0,40,0,0
Eugène Ysaÿe,84020,0,40,0,0
Halsey,82115288,0,40,0,0
Jess Cornelius,32317,0,40,0,0
Jesse McCartney,10263599,0,40,0,0
Julianna Barwick,4889158,0,40,0,0
Purple Mountains,1712736,0,40,0,0
T.I.,35588969,0,40,2,3
Viagra Boys,2988459,0,40,0,0
Yung Pinch,2428887,0,40,0,0
(Sandy) Alex G,6823194,0,39,0,0
Choir Boy,910695,0,39,1,0
Lianne La Havas,10340000,0,39,0,0
Lil Darkie,6801360,0,39,0,0
mxmtoon,7271732,0,39,0,0
Nelly,20906196,0,39,2,2
Ornette Coleman,3482978,0,39,0,0
Sean Paul,21573104,0,39,3,2
Stan Getz,12643570,0,39,5,15
Taylor Swift,581546601,0,39,62,2
Usher,46233295,0,39,3,0
Anathema,56905736,0,38,0,0
"Black Country, New Road",2652541,0,38,1,0
Guided by Voices,26621115,0,38,2,0
Mid-Air Thief,1969146,0,38,0,0
Pete Rock & C.L. Smooth,4434374,0,38,0,0
Porridge Radio,1288093,0,38,0,0
Somi,3835868,0,38,0,0
B.o.B,27828585,0,37,1,1
Galantis,15091801,0,37,0,0
I DONT KNOW HOW BUT THEY FOUND ME,8370992,0,37,0,0
Neon Trees,14902809,0,37,0,0
Red Velvet - IRENE & SEULGI,5645421,0,37,0,0
Shovels & Rope,1716482,0,37,0,0
ShyGirl,4808075,0,37,0,0
SIE Sound Team,796806,0,37,0,0
Swirlies,2260800,0,37,0,0
Zara Larsson,22961394,0,37,0,0
A. G. Cook,4347943,0,36,0,0
Buscabulla,740926,0,36,1,0
DRWN.,640774,0,36,0,0
Iggy Pop,30909633,0,36,0,0
Nujabes,32632899,0,36,0,0
Paintamelody,161218,0,36,0,0
R.A.P. Ferreira,1839404,0,36,0,0
Acid Dad,156693,0,35,0,1
Amon Tobin,28454909,0,35,0,0
Chai,1190890,0,35,0,0
Frances Quinlan,397557,0,35,0,0
Galaxie 500,10550453,0,35,0,0
Isis,23514619,0,35,0,0
Kakkmaddafakka,4078896,0,35,0,0
Kamasi Washington,4214805,0,35,46,4
La Roux,35301277,0,35,0,0
mewithoutYou,18925104,0,35,0,0
Moz-art,5597,0,35,0,0
Pussy Riot,550636,0,35,0,0
Still Corners,5940767,0,35,0,0
The Magnetic Fields,40689436,0,35,0,0
The Pussycat Dolls,34197578,0,35,0,0
Bear vs. Shark,4061873,0,34,13,0
Chiodos,18906636,0,34,0,0
Crystal Castles,115486394,0,34,0,0
Eric B. & Rakim,5585814,0,34,0,0
ian sweet,540902,0,34,0,0
Jid,12051667,0,34,0,0
Jorja Smith,16016382,0,34,2,0
Pavement,53743773,0,34,63,0
The Wytches,1436684,0,34,0,0
Tirzah,2232089,0,34,0,0
Birds of Maya,34513,0,33,1,0
Goo Goo Dolls,40244538,0,33,1,20
Jenny Hval,2917712,0,33,0,0
Jessica Pratt,2865282,0,33,0,0
Playboi Carti,111033250,0,33,0,0
Seekae,2059538,0,33,0,0
An Albatross,1400580,0,32,0,0
Anna Burch,565252,0,32,0,0
Better Oblivion Community Center,3942063,0,32,0,0
Earl Sweatshirt,51417828,0,32,0,0
Elza Soares,3229749,0,32,0,0
Foxing,4926986,0,32,0,0
Fuck Buttons,6287121,0,32,0,0
God Help the Girl,3490143,0,32,0,0
John McLaughlin,1698215,0,32,0,0
Kids See Ghosts,20772744,0,32,69,1
Margaret Glaspy,795185,0,32,0,0
Portugal. The Man,43310210,0,32,0,0
Postcards,119237,0,32,0,0
Sixpence None the Richer,10475455,0,32,0,0
Sleater-Kinney,17976009,0,32,0,0
The Hives,40682113,0,32,0,0
TOKYOPILL,140438,0,32,0,0
tricot,5101760,0,32,0,0
Vic Mensa,4170727,0,32,0,0
Avantdale Bowling Club,303416,0,31,0,0
Embrace,6328208,0,31,0,0
Eve Owen,99286,0,31,0,0
Gang Gang Dance,5974643,0,31,0,0
Malibu Ken,787568,0,31,0,0
MATERIAL GIRL,47815,0,31,0,0
Norah Jones,72493090,0,31,0,0
Rae Morris,1686100,0,31,0,0
The Books,12156985,0,31,0,0
The KVB,1930652,0,31,2,0
Thursday,20328886,0,31,414,0
Computer Magic,1155114,0,30,0,0
Department of Eagles,6224541,0,30,167,0
Dusty Springfield,14190068,0,30,0,1
loote,2323124,0,30,0,0
Robyn,43813693,0,30,0,0
Slint,8362519,0,30,126,0
The Chameleons,7746134,0,30,0,0
Thundercat,22651171,0,30,111,0
2Pac,69741325,0,29,0,3
Acceptance,7578104,0,29,0,0
Anna of the North,3005383,0,29,0,0
Baths,13366670,0,29,0,0
Cassandra Jenkins,630420,0,29,0,0
CUB,611462,0,29,0,0
El-P,7901123,0,29,1,0
Kid Cudi,123291936,0,29,0,2
Luke Temple,589929,0,29,0,0
Sex Pistols,23996713,0,29,0,0
Slayer,91437096,0,29,0,0
Titus Andronicus,8180157,0,29,0,0
A.A.L,288778,0,28,0,0
Ablebody,47383,0,28,0,0
BC Unidos,106616,0,28,0,0
Desperate Journalist,370880,0,28,0,0
eightiesheadachetape,19499,0,28,0,0
Florist,2201583,0,28,0,0
Georg Friedrich Händel,12004535,0,28,0,4
Holliday Howe,34470,0,28,0,0
LA Priest,1267512,0,28,0,0
Poté,185300,0,28,0,0
R. Kelly,16407629,0,28,0,0
Slick Rick,3220192,0,28,0,0
Swmrs,2383004,0,28,0,0
The Passage,116118,0,28,0,0
Vince Staples,31039409,0,28,4,11
Washed Out,28885071,0,28,3,0
Wild Party,1290648,0,28,0,0
Zella Day,5796631,0,28,2,2
Bloc Party,112506125,0,27,0,0
Caroline Polachek,12513337,0,27,0,0
Cat Power,68459529,0,27,1,0
Emancipator,23672428,0,27,0,0
Esperanza Spalding,4251667,0,27,0,0
Leah Senior,68923,0,27,0,0
Ludwig van Beethoven,42076100,0,27,0,0
Nuvolascura,217022,0,27,0,0
Pitbull,41181328,0,27,0,0
SASSY 009,689298,0,27,0,0
Shakira,84667447,0,27,2,0
Soilwork,37402596,0,27,0,0
The Jesus Lizard,5246484,0,27,24,0
The Moondrops,11301,0,27,0,0
Arca,17154623,0,26,0,0
Cradle,178974,0,26,0,0
Dizzy,848529,0,26,0,0
friedberg,116492,0,26,0,0
Half Waif,839142,0,26,0,0
HMLTD,1270741,0,26,0,0
Homeboy Sandman,1089687,0,26,1,0
Ke$ha,102477334,0,26,2,0
Men I Trust,13550163,0,26,497,0
Mos Def,25465887,0,26,0,2
Pedro the Lion,9023970,0,26,0,0
Salem,7403669,0,26,0,0
Tei Shi,3544343,0,26,0,0
The Reindeer Consort,181,0,26,0,0
the scary jokes,1051677,0,26,0,0
The Unicorns,9997799,0,26,0,0
Tindersticks,11381009,0,26,0,0
Bad Brains,16112397,0,25,1,0
Danitsa,65281,0,25,0,0
Ellie Goulding,97204409,0,25,0,0
goreshit,3841192,0,25,0,0
Hanreti,17660,0,25,1,2
Jackie Lynn,72253,0,25,0,0
Jónsi,12246551,0,25,0,0
katie dey,729839,0,25,0,0
Lovers Without Borders,7435,0,25,0,0
Nyck Caution,489250,0,25,0,0
Otta,47848,0,25,0,0
Screaming Females,2939435,0,25,0,0
Sudan Archives,1472413,0,25,0,0
Tony Molina,983821,0,25,0,0
100 gecs,24545315,0,24,0,0
A.C. Freazy,12749,0,24,0,0
Alice Merton,2791871,0,24,0,0
Blut aus Nord,5376906,0,24,0,0
Carm,83054,0,24,0,0
Dear SilaS,35985,0,24,0,0
Dorian Electra,7507742,0,24,0,0
Drunk with Pines,304,0,24,0,0
EarthGang,5922747,0,24,1,0
Hayley Williams,11771775,0,24,0,0
Icona Pop,14319536,0,24,0,0
Jack Johnson,123053477,0,24,2,80
Makthaverskan,1502730,0,24,0,0
Mat Zo,3074392,0,24,1577,2
Muddy Waters,12664204,0,24,0,0
oso oso,2412584,0,24,0,0
Sevdaliza,6547774,0,24,0,0
Siouxsie and the Banshees,28204378,0,24,0,0
Tal Bachman,1812731,0,24,0,0
Thomas Haynes Bayly,5282,0,24,0,0
Vanessa Carlton,12357625,0,24,0,0
A Sunny Day In Glasgow,4038776,0,23,0,0
Avril Lavigne,137982436,0,23,1,1
Bic Runga,2635848,0,23,0,0
Forss,330046,0,23,0,0
Hand Habits,424278,0,23,0,0
Hope Sandoval & The Warm Inventions,3400202,0,23,0,0
Janet Jackson,29674934,0,23,0,0
Jeff Rosenstock,10971133,0,23,1,0
OFENBACH,3009103,0,23,0,0
Rae Sremmurd,14507059,0,23,0,0
Snoh Aalegra,5978241,0,23,0,0
Solange,26450495,0,23,0,0
The Jesus and Mary Chain,30461154,0,23,0,0
The Narrative,617143,0,23,0,0
Thelma,41184,0,23,0,0
Zion I,3722992,0,23,0,0
Arcane Roots,1469741,0,22,0,0
Avenade,165191,0,22,0,0
Dream Wife,855100,0,22,0,0
Edvard Grieg,8838396,0,22,0,1
Fantasy,228017,0,22,0,0
Jim-E Stack,950631,0,22,0,0
Matthias Gusset,35870,0,22,0,0
No Joy,2190412,0,22,0,0
Nubya Garcia,593312,0,22,0,0
Reyko,185863,0,22,0,0
Rolo Tomassi,3856750,0,22,0,0
Sad Alex,180272,0,22,0,0
Sean Kingston,11473468,0,22,0,0
Tangerine Dream,9911460,0,22,0,0
The Body,2155169,0,22,0,0
The Ting Tings,27131410,0,22,0,0
TLC,14576023,0,22,0,2
Toploader,4149359,0,22,0,2
Trentemøller,19736857,0,22,0,0
Vitalic,11828364,0,22,0,0
William Black,673131,0,22,0,0
Wu-Tang Clan,45207809,0,22,0,2
Bauhaus,22006250,0,21,0,0
Car Seat Headrest,37937632,0,21,33,0
Dollshot,2304,0,21,0,0
Explosions in the Sky,61883007,0,21,0,0
Flying Lotus,55330284,0,21,247,1
Gwen Stefani,39171078,0,21,3,1
Internal Rot,259215,0,21,0,0
Maggie Rogers,9507857,0,21,0,0
Nine Inch Nails,199600894,0,21,0,0
Noisia,11598228,0,21,0,0
Stretch and Bobbito,22843,0,21,0,0
Tamara & The Dreams,7840,0,21,0,0
Yves Jarvis,355678,0,21,0,0
Zebra Katz,941180,0,21,0,0
Anderson .Paak,26428040,0,20,0,1
Bathory,21733072,0,20,4,0
Beautify Junkyards,91855,0,20,0,0
Behemoth,37498623,0,20,0,0
Celeste,4142750,0,20,0,0
Colbie Caillat,24831323,0,20,1,1
Dirty Three,4550510,0,20,0,0
Hermit and the Recluse,605146,0,20,0,0
Hillsong Worship,4256251,0,20,0,0
I left my wallet downstairs,5650,0,20,0,0
Jesca Hoop,1889897,0,20,0,0
Kings Kaleidoscope,1134409,0,20,0,0
Maria BC,13878,0,20,0,0
Martin Solveig,9822644,0,20,0,0
Megan Thee Stallion,31040768,0,20,0,0
METZ,3177873,0,20,0,0
Purity Ring,25989781,0,20,0,0
Shontelle,3403064,0,20,0,0
Sunshine & The Rain,8536,0,20,0,0
Swain,719815,0,20,0,0
Trey Songz,19656517,0,20,0,0
WET LEG,246075,0,20,0,0
Yung Lean,37548578,0,20,0,0
Annie,7995718,0,19,0,0
Black Moth Super Rainbow,12728877,0,19,1,0
Black To Comm,465183,0,19,0,0
Cowtools,1370,0,19,0,0
Czarface,3908272,0,19,0,0
Dawn Richard,2176618,0,19,0,0
Doom,4347725,0,19,0,0
Eartheater,3049725,0,19,0,0
FLOWERTRUCK,56033,0,19,0,0
Health,13227266,0,19,0,0
Kali Uchis,49015845,0,19,0,0
Lomelda,1550752,0,19,0,0
Post Malone,93717957,0,19,0,16
Q and Not U,3766042,0,19,0,0
R.E.M.,106307455,0,19,0,0
Rose Elinor Dougall,491048,0,19,0,0
Still Woozy,12633538,0,19,0,5
Stormzy,9823679,0,19,0,0
Alice in Chains,96724502,0,18,1,0
BDRMM,416297,0,18,0,0
Becca Mancari,310710,0,18,0,0
Bill Callahan,8007052,0,18,0,0
Boy Scouts,168886,0,18,0,0
Giveon,9403767,0,18,0,1
Isaiah Rashad,24269487,0,18,2,0
Luke Potter,44340,0,18,0,0
mapleway,6118,0,18,0,0
Orchid,7933221,0,18,0,0
Pip Blom,453984,0,18,0,0
Rapsody,3722323,0,18,0,0
Rosey7,3239,0,18,0,0
Silverstein,34580884,0,18,22,0
Soundgarden,54224172,0,18,475,0
Sunn O))),4931812,0,18,0,0
Talk Talk,13794505,0,18,0,0
Tim Hecker,20285751,0,18,0,0
Villagers,7877123,0,18,0,0
Will Butler,934193,0,18,0,0
Alex Roe,224269,0,17,0,0
Alex Winston,1809168,0,17,0,0
Amen Dunes,3119757,0,17,1,0
Big Baby,10420,0,17,0,0
Broadway,2860264,0,17,0,0
Ciara,25815004,0,17,1,1
Davido,953644,0,17,0,0
The Evens,1820848,0,0,435,0
Glassjaw,11745795,0,0,313,0
Kaskade,15356349,0,0,297,0
Haywyre,2204019,0,0,275,0
Built to Spill,26986926,0,0,247,0
Weather Report,4992143,0,0,201,0
Flume,35415596,0,0,194,0
The Wrens,3846017,0,0,194,0
UNKLE,33628537,0,0,193,0
jerkcurb,540482,0,0,173,1
Jets to Brazil,3810753,0,0,135,0
Dabin,1844736,0,0,110,0
Odesza,20702629,0,0,107,0
Grabbitz,1033892,0,0,95,0
Knife Party,9723114,0,0,95,0
Seven Lions,6353878,0,0,90,0
Pearl Jam,163223924,0,0,85,0
Röyksopp,78883370,0,0,80,0
Polvo,3258308,0,0,65,0
Zedd,30136987,0,0,65,0
fIREHOSE,1243079,0,0,59,0
Koda,957696,0,0,57,2
Sparta,6428758,0,0,57,0
Nigel Good,293421,0,0,51,0
Nero,20351138,0,0,49,0
Koven.,1574290,0,0,39,0
Eden,14972281,0,0,30,0
Japandroids,9832306,0,0,30,0
Miguel,21790913,0,0,28,0
Rage Against the Machine,103336080,0,0,28,2
ShockOne,988595,0,0,28,0
Wolfgang Gartner,3994755,0,0,25,0
Au5,1868867,0,0,24,0
Homeshake,7727293,0,0,24,0
Black Flag,21259717,0,0,23,0
FKJ,4966032,0,0,21,0
Armin van Buuren,43337128,0,0,20,0
Trap City,113197,0,0,20,0
Chance the Rapper,30979446,0,0,18,23
Melody's Echo Chamber,7086196,0,0,17,0
Minus the Bear,30825446,0,0,17,0
Duke Ellington,15272059,0,0,15,2
Karma Fields,804890,0,0,14,0
Steve Lacy,17243678,0,0,14,0
Dave Brubeck,8294626,0,0,13,17
Mastodon,58079289,0,0,13,0
ZHU,10018659,0,0,13,0
Fractal,297839,0,0,12,0
Jamiroquai,57844433,0,0,12,0
Silent Rider,78826,0,0,12,0
The Walkmen,18704827,0,0,12,0
Freddie Hubbard,2672621,0,0,11,1
Serj Tankian,32197628,0,0,11,0
Tim Kasher,583960,0,0,11,0
Anna Yvette,288411,0,0,10,0
Bright Eyes,94278038,0,0,10,0
Camo & Krooked,6892613,0,0,10,0
Joyce Manor,15751883,0,0,10,0
Rogue,1534377,0,0,9,0
The Hotelier,5494716,0,0,9,0
Astronaut,724196,0,0,8,0
Home,6327379,0,0,8,0
Puppet,827822,0,0,8,0
Sungazer,518986,0,0,8,0
Fred V & Grafix feat. Reija Lee,54846,0,0,7,0
Blues Backing Tracks,11449,0,0,6,0
Tortoise,11444291,0,0,6,0
Wes Montgomery,5884160,0,0,6,3
Antônio Carlos Jobim,12122341,0,0,5,5
Daniel Rossen,849542,0,0,5,0
Dead Letter Circus,3153533,0,0,5,0
JinSang,6451379,0,0,5,0
Mika,45505696,0,0,5,0
Pegboard Nerds,4450038,0,0,5,0
Swum,3169720,0,0,5,0
Vulfpeck,11146504,0,0,5,0
7 Minutes Dead,250280,0,0,4,0
Charles Mingus,12684146,0,0,4,0
Hellberg,1276450,0,0,4,0
LOVING,1888222,0,0,4,0
Noel Redding,105481,0,0,4,0
Noisestorm,2206444,0,0,4,0
Pendulum,76562266,0,0,4,0
Rameses B,3972160,0,0,4,0
Stereotronique,164012,0,0,4,0
Tristam,3417307,0,0,4,0
Zacari,1159422,0,0,4,0
A Perfect Circle,82045066,0,0,3,0
Aero Chord,1840890,0,0,3,0
And So I Watch You From Afar,8353306,0,0,3,0
Bedouin Soundclash,5523576,0,0,3,0
BlocBoy JB,2557810,0,0,3,2
Broadcast,15142788,0,0,3,0
Chick Corea,4914028,0,0,3,0
Eevee,4239817,0,0,3,0
Ella Fitzgerald,33634630,0,0,3,4
Flo Rida,37814437,0,0,3,0
Hermitude,3286210,0,0,3,0
Holy Wave,733359,0,0,3,0
How to Destroy Angels,5997032,0,0,3,0
idealism,5706555,0,0,3,0
Jay Rock,9587915,0,0,3,1
John Coltrane Quartet,1723321,0,0,3,0
Lou Bega,2873080,0,0,3,0
Made in M,1589434,0,0,3,0
MANWOLVES,601198,0,0,3,4
Matt Maeson,4168100,0,0,3,9
MitiS,2626042,0,0,3,0
Mr FijiWiji,1380375,0,0,3,0
NAV,17065496,0,0,3,7
Oneohtrix Point Never,16944431,0,0,3,0
Paul Desmond,2864384,0,0,3,0
PIXL,588427,0,0,3,0
Ryley Walker,979211,0,0,3,0
Singularity,298039,0,0,3,0
SOB X RBE,2204231,0,0,3,0
Soulja Boy,10548480,0,0,3,0
Summer Salt,3102866,0,0,3,0
The Zeros,191779,0,0,3,0
Thurston Moore,4077518,0,0,3,0
Trivecta,741919,0,0,3,0
Tut Tut Child,990671,0,0,3,0
Twista,6667295,0,0,3,0
Varien,1901761,0,0,3,0
Wayne Shorter,3895099,0,0,3,0
Wesley Willis,792955,0,0,3,2
Women,4192259,0,0,3,0
Wun Two,3884973,0,0,3,0
_tag,263412,0,0,2,0
24kgoldn,9132776,0,0,2,3
A L E X,2706120,0,0,2,0
Ab-Soul,7012695,0,0,2,3
Akon,28305769,0,0,2,0
Alex G,13365866,0,0,2,0
Atoms for Peace,7240462,0,0,2,0
Aviators,1252797,0,0,2,11
aXian,853990,0,0,2,0
Bad Religion,74679708,0,0,2,0
barnes blvd.,1093464,0,0,2,0
Baroness,19583258,0,0,2,0
Black Lips,12798542,0,0,2,0
Blank Banshee,5247484,0,0,2,0
Brad Mehldau,4737347,0,0,2,0
Brookes Brothers,1534794,0,0,2,0
bru-c,747388,0,0,2,0
Brye,386155,0,0,2,0
Burgundy Skies,120245,0,0,2,0
Caesars,7809806,0,0,2,5
Cave In,3976605,0,0,2,0
Chad VanGaalen,6084219,0,0,2,0
Chris Webby,2400429,0,0,2,24
Claes Rosen,168185,0,0,2,0
Clifford Brown,1943958,0,0,2,0
Colleen D'Agostino,128873,0,0,2,0
Com Truise,10046357,0,0,2,0
Corey Feldman,62068,0,0,2,0
Cosmo Pyke,1954077,0,0,2,0
Damaged Bug,516133,0,0,2,0
Daniele Luppi,440296,0,0,2,0
Desaparecidos,3905494,0,0,2,0
Descendents,24307671,0,0,2,0
Dinka,857766,0,0,2,0
Django Reinhardt,13624407,0,0,2,9
Dobie Gray,707698,0,0,2,4
Dot Hacker,823883,0,0,2,0
Draper,998613,0,0,2,0
Droptek,420360,0,0,2,0
Dub Trio,1049509,0,0,2,0
Eli Starr Trio,27037,0,0,2,0
elijah who,2430559,0,0,2,0
Eminence,529878,0,0,2,0
Eucalyptic,201014,0,0,2,0
Feint,5591240,0,0,2,0
Fergie,26348263,0,0,2,0
Flughand,1952599,0,0,2,0
Gang of Four,11523674,0,0,2,0
Gary Burton,819433,0,0,2,0
George Acosta,305926,0,0,2,0
Good Morning,3390188,0,0,2,0
Gregory Esayan,162951,0,0,2,0
Guy Onraet,23,0,0,2,0
Harris Cole,1528298,0,0,2,0
Harry Styles,77103594,0,0,2,0
Helvetia,1593029,0,0,2,0
Her's,6044819,0,0,2,0
I.Y.F.F.E,107620,0,0,2,0
Iman Omari,473315,0,0,2,0
In Love With a Ghost,3836138,0,0,2,0
infinite bisous,890999,0,0,2,0
J'San,2735151,0,0,2,0
Jimmy Buffett,6339298,0,0,2,16
Juice WRLD,112034332,0,0,2,93
Juventa,382813,0,0,2,0
Kasbo,2119419,0,0,2,0
Khruangbin,14718710,0,0,2,0
Kshmr,2967631,0,0,2,0
Lee Ranaldo,809124,0,0,2,0
Leonard Peters,108083,0,0,2,0
Les Paul,583228,0,0,2,0
Majestic,1047860,0,0,2,0
McCoy Tyner,2916230,0,0,2,5
Michael Haggins,71932,0,0,2,9
Mommy,1857926,0,0,2,0
Mondo Drag,377427,0,0,2,0
Mozzy,1183968,0,0,2,2
Nafis,14634,0,0,2,0
Natural Child,850019,0,0,2,0
Olivia Rodrigo,77296581,0,0,2,0
Pissed Jeans,2526654,0,0,2,0
Plain White T's,25923300,0,0,2,2
Popeska,306655,0,0,2,0
Protostar,409499,0,0,2,0
Pure Prairie League,940754,0,0,2,6
"QUICKLY, QUICKLY",1561290,0,0,2,0
Reina del Mar,83451,0,0,2,0
Reverend Baron,103810,0,0,2,0
Rich The Kid,6935172,0,0,2,0
Riton,3194512,0,0,2,5
Robert Elovsson Quartet,118001,0,0,2,0
Rogue Feat. Meg Dean,6982,0,0,2,0
Rollz,285769,0,0,2,0
Rootkit,1054394,0,0,2,0
Sam Barsh,171080,0,0,2,0
ScHoolboy Q,33265991,0,0,2,0
Seneca B,387189,0,0,2,0
Simon J,8912,0,0,2,0
sleepdealer,1620976,0,0,2,0
Sonny Rollins,5334587,0,0,2,0
Soulero,232619,0,0,2,0
Soulforge,24607,0,0,2,0
Sunbeam Sound Machine,926866,0,0,2,0
Tally Hall,6664193,0,0,2,2
Telomic,125609,0,0,2,0
The Buttertones,1772417,0,0,2,0
The Clientele,6475575,0,0,2,0
The Dillinger Escape Plan,26331774,0,0,2,0
The Rapture,15844054,0,0,2,0
The Tides,445716,0,0,2,0
Tommy Tutone,856396,0,0,2,0
Triathalon,1337075,0,0,2,0
TV on the Radio,44838028,0,0,2,0
TwoThirds,689528,0,0,2,0
Ty Segall Band,1533156,0,0,2,0
Win and Woo,443047,0,0,2,0
[bsd.u],2101222,0,0,1,0
1-800-SUPERSTAR,308,0,0,1,0
18 Carat Affair,2054227,0,0,1,0
1985 Donmar Warehouse Cast,57,0,0,1,0
2 Chainz,14771545,0,0,1,1
369,191235,0,0,1,0
A Place to Bury Strangers,9223254,0,0,1,0
A$AP Mob,11057814,0,0,1,0
Aaron James,8993,0,0,1,0
Aeron Aether,34456,0,0,1,0
Aeron Aether & Mango & Andre Frauenstein,515,0,0,1,0
Afroman,4469448,0,0,1,2
Ahe Bane,68005,0,0,1,0
Ahmad Jamal Trio,1037659,0,0,1,0
Alessia Cara,16795271,0,0,1,0
Alice Coltrane,2947262,0,0,1,0
Alma,2559495,0,0,1,0
Alyss,92313,0,0,1,0
Andrew Gold,982299,0,0,1,0
Andy Williams,8008195,0,0,1,0
Anita O'Day,2638830,0,0,1,0
Arbour,1380438,0,0,1,0
Art Blakey,2268936,0,0,1,0
As Tall As Lions,6349296,0,0,1,0
Aso,2205298,0,0,1,0
Astrud Gilberto,8305629,0,0,1,20
Audioslave,60477538,0,0,1,0
Ayelle,186504,0,0,1,0
Azedia,502126,0,0,1,0
Baha Men,1140303,0,0,1,0
Bakar,3726777,0,0,1,2
Bassti,703470,0,0,1,0
bbno$,8918422,0,0,1,13
Beachdust,12131,0,0,1,0
Beau Projet,123599,0,0,1,0
Bebe Rexha,18640581,0,0,1,1
Beirut,82878819,0,0,1,0
Ben Folds Five,15784576,0,0,1,0
Ben Webster,2369880,0,0,1,0
Benny Golson and The Philadelphians,283,0,0,1,0
Benny Goodman,5971924,0,0,1,0
Bert H,142334,0,0,1,0
Billie Holiday,32838019,0,0,1,2
Billy Lemos,961566,0,0,1,0
Billy Strayhorn,90102,0,0,1,0
Biz Markie,1926625,0,0,1,1
Black Atlass,1506308,0,0,1,0
Black Grapefruit,43759,0,0,1,0
Blackbear,28262854,0,0,1,0
Blue Wednesday,1465905,0,0,1,0
bluedoom,332603,0,0,1,0
bluntone,2050046,0,0,1,0
Bobby Helms,2631505,0,0,1,0
Bodies of Water,942246,0,0,1,0
Boney M.,12074898,0,0,1,19
Bonnie Tyler,9907441,0,0,1,1
Boom Jinx & Soundprank,7778,0,0,1,0
Botnek,244340,0,0,1,0
Brainiac,1085549,0,0,1,0
Brant Bjork,4363712,0,0,1,0
Brock Berrigan,2335557,0,0,1,0
Bryce Dessner,349601,0,0,1,0
Bud Powell,2746847,0,0,1,0
Burt Bacharach,1981174,0,0,1,0
Burt Mitchell,122692,0,0,1,0
Busta Rhymes,18340304,0,0,1,8
Butthole Surfers,8458152,0,0,1,0
Buzzcocks,14533999,0,0,1,0
Carl Arnett,456,0,0,1,0
Case & Point,348995,0,0,1,0
Cash Cash,7634789,0,0,1,0
Castanets,1791990,0,0,1,0
Charlie Barnet,397017,0,0,1,0
Charlie Daniels Band,2048706,0,0,1,4
Charlie Parker,11145108,0,0,1,0
Chicane,10873428,0,0,1,0
Chief Keef,20365193,0,0,1,2
Chris Mazuera,1142137,0,0,1,0
Chrome Sparks,4187752,0,0,1,0
City Girl,3041835,0,0,1,0
Claude Debussy,19819098,0,0,1,7
Cole Porter,1030514,0,0,1,1
Confusing Guy,9413,0,0,1,1
CONRO,1264712,0,0,1,0
Cookie Jar,147825,0,0,1,0
Cookin Soul,1266763,0,0,1,0
Cool Ghouls,206271,0,0,1,0
Cosmic Gate & Andrew Bayer,22255,0,0,1,0
Count Basie,5148155,0,0,1,0
Crazy Frog,2211079,0,0,1,0
Crocodylus,57553,0,0,1,0
Daily Bread,205915,0,0,1,0
Dakat,14216,0,0,1,0
Danger Mouse,6503079,0,0,1,0
Dave Grohl,468448,0,0,1,0
Dave Guard,279,0,0,1,0
David Fitzpatrick Trio,196337,0,0,1,0
Dawes,5076526,0,0,1,0
Dead Moon,1652840,0,0,1,0
Death in Vegas,9355718,0,0,1,0
Deem Spencer,458175,0,0,1,0
Delayde,1005884,0,0,1,0
Desert Sessions,6932825,0,0,1,0
Desired,2066332,0,0,1,0
Devaloop,372225,0,0,1,0
DIJON,2806004,0,0,1,0
Dillon Francis,5546958,0,0,1,0
Dimension,1728000,0,0,1,0
Dirty Beaches,3244414,0,0,1,0
Dirty South,1796155,0,0,1,0
Dizzy Gillespie,4835218,0,0,1,3
DJ Jules,57838,0,0,1,1
Django Django,10518849,0,0,1,0
"Dream, Ivory",1282796,0,0,1,0
Dreamers Delight,313836,0,0,1,0
DripReport,607387,0,0,1,1
DROELOE,3373026,0,0,1,0
Duncan Sheik,2470489,0,0,1,0
Dylan Lytle,47112,0,0,1,0
Echosmith,6936508,0,0,1,0
Edu.,3143,0,0,1,0
Electric Wizard,15047810,0,0,1,0
Electric Youth,2427910,0,0,1,0
Elhae,577907,0,0,1,0
Elijah Blake,436455,0,0,1,0
Elise Magnefold,312174,0,0,1,0
Emitt Rhodes,1074197,0,0,1,0
Empire of the Sun,34633274,0,0,1,0
Ennio Máno,188270,0,0,1,0
Eugene Lambert,64412,0,0,1,0
Faded Paper Figures,2322717,0,0,1,0
FANTOMPOWER,1258542,0,0,1,0
Favright,195700,0,0,1,0
Feed Me Jack,859452,0,0,1,0
Figub Brazlevič,281278,0,0,1,0
Flea,262275,0,0,1,0
Floating Points,6119781,0,0,1,0
Flobots,8940762,0,0,1,2
Flovry,1409441,0,0,1,0
Francis Lai,841378,0,0,1,0
Frank Carter & The Rattlesnakes,3455034,0,0,1,0
Froth,626385,0,0,1,0
fujitsu,1213770,0,0,1,0
Fyfe,1196056,0,0,1,0
Gal Abutbul,37724,0,0,1,0
Generationals,5476498,0,0,1,0
